timestamp,angry,anxious,happy,sad
20140123170000,3,8,4,7
20140123170500,0,4,4,10
20140123171000,1,10,13,15
20140123171500,4,8,18,11
20140123172000,5,10,11,4
20140123172500,7,25,16,7
20140123173000,2,6,7,16
20140123173500,5,8,8,3
20140123174000,3,7,8,2
20140123174500,3,8,8,2
20140123175000,2,6,9,3
20140123175500,5,8,7,1
20140123180000,0,8,4,7
20140123180500,4,7,8,5
20140123181000,4,8,8,0
20140123181500,1,5,6,3
20140123182000,5,10,4,3
20140123182500,1,10,6,2
20140123183000,3,6,7,4
20140123183500,5,5,4,5
20140123184000,7,12,7,5
20140123184500,19,14,18,10
20140123185000,1,8,19,7
20140123185500,6,8,6,7
20140123190000,10,16,4,18
20140123190500,3,5,7,5
20140123191000,3,4,5,13
20140123191500,2,12,7,5
20140123192000,8,18,14,6
20140123192500,6,13,9,5
20140123193000,3,10,4,2
20140123193500,5,7,9,5
20140123194000,19,39,21,27
20140123194500,6,13,8,11
20140123195000,6,7,10,3
20140123195500,6,10,7,10
20140123200000,4,9,10,7
20140123200500,10,17,9,1
20140123201000,8,22,8,5
20140123201500,5,8,6,9
20140123202000,6,10,8,21
20140123202500,3,11,10,8
20140123203000,13,19,10,5
20140123203500,7,16,16,3
20140123204000,2,3,5,4
20140123204500,3,11,10,5
20140123205000,7,3,5,2
20140123205500,2,9,3,2
20140123210000,6,15,9,2
20140123210500,1,6,7,3
20140123211000,0,9,4,1
20140123211500,3,14,10,5
20140123212000,3,20,9,4
20140123212500,3,9,2,4
20140123213000,1,0,1,3
